Info:2018/02/24 14:56:03 relationship.go:16: ListUserRelationship SELECT success, result relationships:  [{5 1 2 matched relationship} {7 1 3 liked relationship}]
Info:2018/02/24 14:56:03 relationship.go:40: UpdateRelationship SELECT uid success, result relationship:  {5 1 2 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:41: UpdateRelationship SELECT otherUid success, result relationshipTmp:  {6 2 1 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:94: ProcState success, result:  [disliked liked]
Info:2018/02/24 14:56:03 relationship.go:80: UpdateRelationship UPDATE relationship, relationshipTmp state success, result:  &{5 1 2 disliked relationship} &{6 2 1 liked relationship}
Info:2018/02/24 14:56:03 relationship.go:48: UpdateRelationship success, result:  {5 1 2 disliked relationship}
Info:2018/02/24 14:56:03 relationship.go:40: UpdateRelationship SELECT uid success, result relationship:  {6 2 1 liked relationship}
Info:2018/02/24 14:56:03 relationship.go:41: UpdateRelationship SELECT otherUid success, result relationshipTmp:  {5 1 2 disliked relationship}
Info:2018/02/24 14:56:03 relationship.go:94: ProcState success, result:  [liked disliked]
Info:2018/02/24 14:56:03 relationship.go:80: UpdateRelationship UPDATE relationship, relationshipTmp state success, result:  &{6 2 1 liked relationship} &{5 1 2 disliked relationship}
Info:2018/02/24 14:56:03 relationship.go:48: UpdateRelationship success, result:  {6 2 1 liked relationship}
Info:2018/02/24 14:56:03 relationship.go:40: UpdateRelationship SELECT uid success, result relationship:  {5 1 2 disliked relationship}
Info:2018/02/24 14:56:03 relationship.go:41: UpdateRelationship SELECT otherUid success, result relationshipTmp:  {6 2 1 liked relationship}
Info:2018/02/24 14:56:03 relationship.go:94: ProcState success, result:  [matched matched]
Info:2018/02/24 14:56:03 relationship.go:80: UpdateRelationship UPDATE relationship, relationshipTmp state success, result:  &{5 1 2 matched relationship} &{6 2 1 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:48: UpdateRelationship success, result:  {5 1 2 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:40: UpdateRelationship SELECT uid success, result relationship:  {6 2 1 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:41: UpdateRelationship SELECT otherUid success, result relationshipTmp:  {5 1 2 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:94: ProcState success, result:  [matched matched]
Info:2018/02/24 14:56:03 relationship.go:80: UpdateRelationship UPDATE relationship, relationshipTmp state success, result:  &{6 2 1 matched relationship} &{5 1 2 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:48: UpdateRelationship success, result:  {6 2 1 matched relationship}
Info:2018/02/24 14:56:03 relationship.go:40: UpdateRelationship SELECT uid success, result relationship:  {7 1 3 liked relationship}
Info:2018/02/24 14:56:03 relationship.go:41: UpdateRelationship SELECT otherUid success, result relationshipTmp:  {8 3 1  relationship}
Info:2018/02/24 14:56:03 relationship.go:94: ProcState success, result:  [liked ]
Info:2018/02/24 14:56:03 relationship.go:80: UpdateRelationship UPDATE relationship, relationshipTmp state success, result:  &{7 1 3 liked relationship} &{8 3 1  relationship}
Info:2018/02/24 14:56:03 relationship.go:48: UpdateRelationship success, result:  {7 1 3 liked relationship}
